"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2","n"
478,478,"abecabd7-741c-4e7c-a963-0877332286ab","hesuca13","other","Calico",2018-04-22 16:26:00,"jvanas","visual",NA,"UTM
0642245
4002844
3 m
Out walking ","4/22/18 20:01","NDOWherps","4/22/18 20:01","NDOWherps",642245,4002844,-115.41862,36.15986,"",117
486,486,"813f5afc-370a-4118-85db-5231e836452a","hesuca13","other","Calico",2018-04-24 17:39:00,"jvanas","visual",175,"Utm 
0642229
4002876
4 m
Shelter used all spring. ","4/24/18 21:13","NDOWherps","4/24/18 21:13","NDOWherps",642229,4002876,-115.41875,36.16025,"",117
493,493,"85b13155-93d2-455e-b51f-cb9af99df115","hesuca13","other","Calico",2018-04-25 14:08:00,"jvanas","radio",170,"Utm 
0642229
4002882
 4 m
Same shelter as 4/24/18","4/25/18 19:53","NDOWherps","4/25/18 19:53","NDOWherps",642229,4002882,-115.4188,36.16021,"",117
498,498,"e1d3a331-84f1-4e20-9644-c3488643190c","hesuca13","other","Calico",2018-04-27 14:12:00,"jvanas","radio",152,"0642222
4002875
3 m
Same shelter ","4/28/18 20:24","NDOWherps","4/28/18 20:24","NDOWherps",642222,4002875,-115.41882,36.16032,"",117
521,521,"ea17d837-5f12-4ac0-9e91-5d75981c5787","hesuca13","other","Calico",2018-05-02 16:56:00,"jvanas","radio",NA,"Utm 
0641993
4002918
3 m
Moved up slope a little ","5/2/18 18:52","NDOWherps","5/2/18 18:52","NDOWherps",641993,4002918,-115.42134,36.16064,"",117
526,526,"1b737277-0c05-4852-9aa0-3529e0418292","hesuca13","other","Calico",2018-05-03 20:58:00,"jvanas","visual",173,"Utm
0642230
4002879
 3 m
Returning to shelter used all thru April 
Out sunning","5/5/18 21:43","NDOWherps","5/5/18 21:43","NDOWherps",642230,4002879,-115.4188,36.16018,"",117
527,527,"3c980c1e-4783-4500-9651-045389c7adb6","hesuca13","other","Calico",2018-05-05 18:29:00,"jvanas","visual",209,"Utm 
0641830
4002979
 3 m
Moved w on Kraft","5/5/18 21:43","NDOWherps","5/5/18 21:43","NDOWherps",641830,4002979,-115.42309,36.16122,"",117
531,531,"ff74b0b1-cf8e-48fe-ba8a-ced83ff2696f","hesuca13","other","Calico",2018-05-06 15:51:00,"jvanas","visual",NA,"Utm 0641176
4002856
Out hunting
 Large move back to near C 3 and Gopher Rock","5/6/18 20:33","NDOWherps","5/6/18 20:33","NDOWherps",641176,4002856,-115.43052,36.16016,"",117
540,540,"3f900d5f-774a-4ffa-81bf-6c2a6de170e2","hesuca13","other","Calico",2018-05-08 13:29:00,"jvanas","radio",220,"Utm 
0641214
4002810
5 m
Return to shelter used last year with C 3 ","5/8/18 17:47","NDOWherps","5/8/18 17:47","NDOWherps",641214,4002810,-115.43007,36.1598,"",117
549,549,"77cbe23b-92ff-432f-90d6-614026740d44","hesuca13","other","Calico",2018-05-10 18:43:00,"jvanas","visual",180,"Utm0641736
4003032
4 m
Back on W end of Kraft ","5/11/18 1:43","NDOWherps","5/11/18 1:43","NDOWherps",641736,4003032,-115.42419,36.16171,"",117
