"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2"
862,862,"d5d1e924-bf64-4075-b330-f49b61b17e92","hesuca10","other","Calico",2018-05-30 16:16:00,"scohen","visual",NA,"New Monster found right outside of C18‰Ûªs shelter. Bagged.
Identified, measured, and released.
Photo was unable to send.","8/18/18 18:36","NDOWherps","8/18/18 18:36","NDOWherps",642863,4003171,-115.41167,36.16277,""
688,688,"094c65f3-2b16-4f62-80dd-b11bd2ec1661","hesuca10","hesuca10","Calico",2018-05-31 14:18:00,"jvanas","visual",63,"Utm 
0642864
4003177
 4m
None transmitted animal in shelter with a new Gila first seen on 5/30/18
","5/31/18 17:09","NDOWherps","5/31/18 17:09","NDOWherps",642864,4003177,-115.41155,36.1628,""
692,692,"78012556-fc69-42bc-a267-7eabe8bb5146","hesuca10","other","Calico",2018-06-01 02:14:00,"jvanas","visual",NA,"Utm 
0642517
4002778
 3 m
Out walking close to C 15","6/1/18 5:04","NDOWherps","6/1/18 5:04","NDOWherps",642517,4002778,-115.41562,36.15942,""
714,714,"ef216ed9-7281-451f-b6da-8bede725b1b2","hesuca10","hesuca10","Calico",2018-06-06 00:34:00,"jvanas","visual",NA,"Utm 
0642314
4002909
3 m
Surface active towards Camera cave 
Walking towards C12 shelter 
 ","6/6/18 5:51","NDOWherps","6/6/18 5:51","NDOWherps",642314,4002909,-115.41775,36.16063,""
