"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2","n"
1205,1205,"c3ca53d4-2304-47a1-8e55-0da284e0d511","hesuca20","other","Calico",2019-06-03 13:49:00,"jvanas","radio",156,"Utm 
0642273
4002973
Belly tracks 
Went high","6/3/19 18:17","NDOWherps","6/3/19 18:17","NDOWherps",642273,4002973,NA,NA,"",21
1246,1246,"650dd77a-8226-42f5-bb0b-be970110b7f3","hesuca20","other","Calico",2019-06-10 14:28:00,"jvanas","radio",195,"Utm 
0642353
4002845
Next to Plumber Crack","6/11/19 0:05","NDOWherps","6/11/19 0:05","NDOWherps",642353,4002845,NA,NA,"",21
1254,1254,"86112f0c-392c-48d6-873d-f40268529d6b","hesuca20","other","Calico",2019-06-13 13:49:00,"other","radio",157,"","6/14/19 3:25","NDOWherps","6/14/19 3:25","NDOWherps",642437,4002841,NA,NA,"",21
1282,1282,"289d0714-30d4-42fe-b3f7-fbbdb07d97bf","hesuca20","other","Calico",2019-06-20 11:53:00,"jvanas","radio",176,"Utm 
0642248
4002915","6/20/19 23:06","NDOWherps","6/20/19 23:06","NDOWherps",642248,4002915,NA,NA,"",21
1319,1319,"35228683-7bd7-4c29-9238-aa4e1122ffe3","hesuca20","other","Calico",2019-06-24 20:16:00,"other","radio",86,"Used small opening to get under large rock

UTM: 0642201, 4002850","6/26/19 20:08","NDOWherps","6/26/19 20:08","NDOWherps",642201,4002850,NA,NA,"",21
1335,1335,"bf776301-95f7-4a7a-b618-9a3ff4df699e","hesuca20","other","Calico",2019-07-01 17:06:00,"other","radio",132,"utm: 0642434, 4002940","7/2/19 23:01","NDOWherps","7/2/19 23:01","NDOWherps",642434,4002940,NA,NA,"",21
1344,1344,"47644197-a1af-47ae-b8de-fc31d410c5b5","hesuca20","other","Calico",2019-07-08 16:01:00,"other","radio",154,"UTM: 0642615, 4002840","7/8/19 16:53","NDOWherps","7/8/19 16:53","NDOWherps",642615,4002840,NA,NA,"",21
1354,1354,"7dec0464-d992-4d67-b285-773826eb66d4","hesuca20","other","Calico",2019-07-09 15:47:00,"jvanas","radio",NA,"Utm 
0642421
4002623
","7/9/19 22:37","NDOWherps","7/9/19 22:37","NDOWherps",642421,4002623,NA,NA,"",21
1387,NA,"4ffd6c39-2804-4370-a075-ac28b1d30775","hesuca20","other","Calico",2019-08-05 13:52:00,"other","radio",206,"UTM: 0642421, 4002941","8/6/19 18:49","NDOWherps","8/6/19 18:49","NDOWherps",642421,4002941,NA,NA,"",21
1398,NA,"4f0b1392-b592-418f-b746-e316e8367692","hesuca20","other","Calico",2019-09-06 17:55:00,"jjones","radio",79,"High on east side of kraft, UTMs: 0642668, 4003121; wp136","9/7/19 22:21","jljones76","9/7/19 22:21","jljones76",642668,4003121,NA,NA,"",21
1410,NA,"7424db3d-1468-413c-8dfa-c4886b391b5a","hesuca20","other","Calico",2019-09-11 17:45:00,"other","radio",10,"UTM: 0642667, 4003121 within 9m accuracy","9/11/19 17:50","NDOWherps","9/11/19 17:53","NDOWherps",642667,4003121,NA,NA,"",21
1428,NA,"3f0e12a8-5630-4266-9518-ebdae828f652","hesuca20","other","Calico",2019-09-20 16:30:00,"other","radio",204,"Same shelter as last time","9/20/19 16:43","NDOWherps","9/20/19 16:43","NDOWherps",642667,4003121,NA,NA,"",21
