"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2"
278,278,"47062e3a-d29d-4ef8-8bbe-ce48d39f3c07","hesuca12","hesu12","Calico",2017-09-18 14:29:00,"jvanas","radio",135,"UTM
0642298
4002928

","9/18/17 17:32","NDOWherps","9/18/17 17:32","NDOWherps",642298,4002928,-115.41809,36.16049,""
290,290,"138ded54-656f-41f4-8fdd-f6f91eb4d050","hesuca12","hesu12","Calico",2017-09-22 16:30:00,"jvanas","radio",179,"UTM
0642297
4002926","9/22/17 20:13","NDOWherps","9/22/17 20:13","NDOWherps",642297,4002926,-115.41799,36.16064,""
451,451,"496b8872-4da8-453e-a01d-ed8abb1ed5bd","hesuca12","hesu12","Calico",2018-04-11 17:05:00,"scohen","radio",73,"Gila was observed digging under a rock.
Shelter aspect is for the hole the monster was digging out.

0642205
40028623
","4/12/18 20:52","NDOWherps","4/12/18 20:52","NDOWherps",642205,4002862,-115.41901,36.16012,""
470,470,"2b972eda-38ae-4c95-bb2c-b3b0d9097869","hesuca12","hesuca12","Calico",2018-04-18 18:55:00,"jvanas","radio",252,"","4/18/18 21:51","NDOWherps","4/18/18 21:51","NDOWherps",642076,4002947,NA,NA,""
477,477,"9df8ecc0-447c-404e-ac25-e0139225792c","hesuca12","hesuca12","Calico",2018-04-22 15:49:00,"jvanas","radio",58,"UTm
0642075
4002945
  5 m. Same shelter 
","4/22/18 20:01","NDOWherps","4/22/18 20:01","NDOWherps",642075,4002945,-115.42042,36.1609,""
487,487,"e72f22c9-28b4-4cc7-8c8b-ce523c84af79","hesuca12","hesuca12","Calico",2018-04-24 17:21:00,"jvanas","radio",NA,"Utm 
0642121
4002863 m
Same shelter as C 11","4/24/18 21:13","NDOWherps","4/24/18 21:13","NDOWherps",642121,4002863,-115.42026,36.16033,""
491,491,"850f80da-6191-426c-82b9-43be59f8508b","hesuca12","hesuca12","Calico",2018-04-25 16:08:00,"jvanas","visual",NA,"Utm 
0642330
4002901
Out walking. By camera cave I
","4/25/18 19:53","NDOWherps","4/25/18 19:53","NDOWherps",642330,4002901,-115.41767,36.16036,""
496,496,"404baf7f-132e-4ab4-889a-cf271d968d52","hesuca12","hesuca12","Calico",2018-04-27 15:16:00,"jvanas","visual",NA,"Utm 
0642562
4002851
 7 m
Out walking
Moving E on Kraft
","4/28/18 20:24","NDOWherps","4/28/18 20:24","NDOWherps",642562,4002851,-115.4151,36.15995,""
532,532,"8650aa78-e8df-478c-8b30-ec4b6cd965d7","hesuca12","hesuca12","Calico",2018-05-06 14:23:00,"jvanas","visual",103,"Utm 
0642325
4002815
3 m
 Back near base of boulder field ","5/6/18 20:33","NDOWherps","5/6/18 20:33","NDOWherps",642325,4002815,-115.41774,36.15962,""
538,538,"9417a0f5-bb96-4ff0-9068-f6de4cc2449d","hesuca12","hesuca12","Calico",2018-05-07 14:11:00,"jvanas","visual",194,"Utm 
0642316
4002886
3 m
Very near Camera cave
","5/7/18 18:46","NDOWherps","5/7/18 18:46","NDOWherps",642316,4002886,-115.41779,36.16047,""
563,563,"8c80821d-e1f7-470b-be96-54b225e89b64","hesuca12","other","Calico",2018-05-12 20:15:00,"other","visual",180,"0642318, 4002945 *lat/longs incorrect 
","5/14/18 0:39","NDOWherps","5/14/18 0:39","NDOWherps",642318,4002945,NA,NA,""
555,555,"153ae560-3923-4bad-8e14-fa15301bd329","hesuca12","hesuca12","Calico",2018-05-13 00:57:00,"jvanas","radio",NA,"Utm 
0642332
4002914
 4 m
Above Camera cave under Cats claw an lg boulders
","5/13/18 4:15","NDOWherps","5/13/18 4:15","NDOWherps",642332,4002914,-115.41765,36.16044,""
574,574,"0eab090f-6e51-4529-b8fa-82fa149ab0a9","hesuca12","hesuca12","Calico",2018-05-15 18:24:00,"jvanas","visual",NA,"Utm 
0642102
4002796
 5 m
Open desert under Cats claw
Digging for eggs","5/15/18 21:58","NDOWherps","5/15/18 21:58","NDOWherps",642102,4002796,-115.4202,36.15952,""
580,580,"fa32b374-3818-4287-a05e-199709355d94","hesuca12","hesuca12","Calico",2018-05-18 17:03:00,"scohen","visual",223,"Utm 
0642357
4002945
3 m
 Above Camera cave","5/18/18 23:09","NDOWherps","5/18/18 23:09","NDOWherps",642357,4002945,-115.41738,36.16082,""
602,602,"3767e518-987c-4c4e-9ee6-75e1044af356","hesuca12","hesuca12","Calico",2018-05-19 17:42:00,"jvanas","visual",200,"Utm 
0642250
4002821
 5 m 
Open desert under rock large","5/22/18 4:20","NDOWherps","5/22/18 4:20","NDOWherps",642250,4002821,-115.41866,36.15969,""
593,593,"d0404efe-24b0-42a3-8319-b43d13301d11","hesuca12","hesuca12","Calico",2018-05-21 14:59:00,"jvanas","visual",NA,"Utm 
0642094
4002921
 6 m
Surface active ","5/22/18 4:19","NDOWherps","5/22/18 4:19","NDOWherps",642094,4002921,-115.42029,36.1607,""
614,614,"3c2e804d-c4d3-4eb4-bf38-75486fb2cd18","hesuca12","hesuca12","Calico",2018-05-22 15:16:00,"jvanas","visual",NA,"Utm 
0642334
4002905. 3 m 
Surface active 
At Camera cave just above","5/23/18 23:51","NDOWherps","5/23/18 23:51","NDOWherps",642334,4002905,-115.41767,36.16045,""
610,610,"7f26db26-c496-4af5-97ce-f8b2c37b6cad","hesuca12","hesuca12","Calico",2018-05-23 13:53:00,"jvanas","radio",27,"Utm 
0642422
4002820
 3 m 
Low on boulders under large rock 
GOAG under same rock ","5/23/18 23:51","NDOWherps","5/23/18 23:51","NDOWherps",642422,4002820,-115.41664,36.15965,""
634,634,"948cc1ac-1d82-454c-8105-a37fcd30e8d2","hesuca12","hesuca12","Calico",2018-05-25 14:25:00,"scohen","radio",186,"","5/25/18 22:53","NDOWherps","5/25/18 22:53","NDOWherps",642321,4002944,NA,NA,""
667,667,"aa74698e-7a71-490d-9539-b06fbb487d70","hesuca12","hesuca12","Calico",2018-05-27 16:39:00,"jvanas","visual",NA,"Utm 
0641976
4002913
 4 m
Surface active ","5/27/18 19:41","NDOWherps","5/27/18 19:41","NDOWherps",641976,4002913,-115.4216,36.1606,""
671,671,"8f35ba31-33e6-47c1-9f55-c7379ee1dcac","hesuca12","hesuca12","Calico",2018-05-29 13:57:00,"jvanas","visual",161,"Utm
0641884
4002910
 3 m
Moved W on Kraft 
Low in boulders ","5/29/18 17:24","NDOWherps","5/29/18 17:24","NDOWherps",641884,4002910,-115.42261,36.16062,""
703,703,"74a7ed0b-11e4-4d33-809f-ca39e574294d","hesuca12","hesuca12","Calico",2018-06-04 15:50:00,"jvanas","radio",99,"Utm 
0642305
4002992
 3 m
Way high near vertical wall","6/4/18 18:14","NDOWherps","6/4/18 18:14","NDOWherps",642305,4002992,-115.41792,36.1612,""
712,712,"4bf4c79d-a99f-44af-b19d-d6351a485f0f","hesuca12","hesuca12","Calico",2018-06-06 00:50:00,"jvanas","visual",140,"Utm
0642298
4002926
 4 m
w of Camera cave
","6/6/18 5:51","NDOWherps","6/6/18 5:51","NDOWherps",642298,4002926,-115.41803,36.16071,""
716,716,"4288b5a6-7c31-4325-ac0d-88c752dcb889","hesuca12","hesuca12","Calico",2018-06-06 01:30:00,"jvanas","visual",205,"Utm 
0642309
4002921
Surface active 
Changed shelters 
6 m","6/6/18 5:51","NDOWherps","6/6/18 5:51","NDOWherps",642309,4002921,-115.41788,36.16067,""
713,713,"46a8e48b-1fba-43da-bb28-d4ab4f7e4438","hesuca12","hesuca12","Calico",2018-06-06 02:24:00,"jvanas","visual",NA,"Utm
0642360
4002897
 3 m
Surface active 
Moved 20 m east
Left C10 back
","6/6/18 5:51","NDOWherps","6/6/18 5:51","NDOWherps",642360,4002897,-115.41744,36.16039,""
717,717,"768272ed-4f2e-4d24-acf3-242fb1e2c5e9","hesuca12","hesuca12","Calico",2018-06-08 13:21:00,"jvanas","radio",187,"Utm 
0642428
4002934
 3 m
High up E of Camera cave ","6/8/18 18:50","NDOWherps","6/8/18 18:50","NDOWherps",642428,4002934,-115.41662,36.16072,""
737,737,"99099b94-4fc3-4a28-bd28-2528e3e92397","hesuca12","hesuca12","Calico",2018-06-12 02:34:00,"jvanas","radio",185,"Utm 
0642291
4002916
3 m
Low across from Camera Cave Rd","6/12/18 5:36","NDOWherps","6/12/18 5:36","NDOWherps",642291,4002916,-115.41817,36.16062,""
742,742,"d0f40bf3-c36b-49b3-b0da-617fbe43236a","hesuca12","hesuca12","Calico",2018-06-14 02:45:00,"jvanas","radio",199,"Utm 
0642288
4002918
 5 m
","6/14/18 15:35","NDOWherps","6/14/18 15:35","NDOWherps",642288,4002918,-115.41811,36.16062,""
751,751,"630d22ab-00d4-4abe-9a40-e51f2d75e21d","hesuca12","hesuca12","Calico",2018-06-15 13:59:00,"jvanas","radio",193,"Utm 
0642291
4002913
3 m
Just E of C 11
Close to Camera Cave 
","6/15/18 17:27","NDOWherps","6/15/18 17:27","NDOWherps",642291,4002913,-115.4181,36.16062,""
797,797,"8d833488-9653-45e4-a115-fca8878e8aea","hesuca12","hesuca12","Calico",2018-06-27 16:05:00,"scohen","radio",NA,"Strong signal. No idea where the shelter is. Lots of big boulders.","7/11/18 21:25","NDOWherps","7/11/18 21:25","NDOWherps",642294,4002918,NA,NA,""
770,770,"a51e2f0b-b984-4e56-b781-a3f53ede120c","hesuca12","hesuca12","Calico",2018-07-06 14:26:00,"jvanas","radio",145,"Utm 
0642330
4002904
5 m
In small shelter near Camera cave ","7/6/18 17:17","NDOWherps","7/6/18 17:17","NDOWherps",642330,4002904,-115.41754,36.16014,""
776,776,"cd369184-971b-48f5-af86-d9853fcb030c","hesuca12","hesuca12","Calico",2018-07-07 16:13:00,"jvanas","radio",241,"Utm 
0642345
4002946
4 m
Moved above Camera Cave 
Close to C 15
","7/7/18 18:03","NDOWherps","7/7/18 18:03","NDOWherps",642345,4002946,-115.41743,36.16073,""
780,780,"644bef81-a296-4c42-85b9-8d36964585e0","hesuca12","hesuca12","Calico",2018-07-10 15:10:00,"jvanas","radio",139,"Utm 
0642327
4002898
3 m
Back next to Camera Cave ","7/10/18 18:30","NDOWherps","7/10/18 18:30","NDOWherps",642327,4002898,-115.41764,36.16044,""
804,804,"696ec554-61a6-44f1-b7bd-c50426215d9c","hesuca12","hesuca12","Calico",2018-07-13 12:18:00,"jvanas","radio",150,"Utm 
0642328
4002897
3 m
Same shelter ","7/13/18 15:33","NDOWherps","7/13/18 15:33","NDOWherps",642328,4002897,-115.41762,36.1604,""
805,805,"6f21aec8-e826-4350-bfba-8451e7f59aee","hesuca12","hesuca12","Calico",2018-07-15 15:38:00,"jvanas","radio",143,"Utm 
0642332
4002896
 3 m","7/16/18 11:57","NDOWherps","7/16/18 11:57","NDOWherps",642332,4002896,-115.4177,36.16036,""
1150,1150,"075b8064-bc99-4dd4-9b80-fc1ab935ff6e","hesuca12","hesuca12","Calico",2018-07-18 13:31:00,"other","radio",170,"In shelter, not visible. Collocated with 15.
","5/14/19 5:57","NDOWherps","5/14/19 5:57","NDOWherps",642326,4002907,NA,NA,""
