"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2"
668,668,"55b3dcd5-f7f1-4102-9894-c000571d6cc7","hesuca17","other","Calico",2018-05-27 17:04:00,"jvanas","radio",200,"Utm 
0641835
4002984
Moved E and higher
 5 m","5/27/18 19:41","NDOWherps","5/27/18 19:41","NDOWherps",641835,4002984,-115.42317,36.16121,""
678,678,"5583577b-8b48-4ce9-acb0-ce49e2bbaea5","hesuca17","other","Calico",2018-05-30 13:50:00,"jvanas","radio",129,"Utm 
0642545
4002844
3 m
E end of Kraft 
Under huge boulder
Deep shelter ","5/30/18 19:20","NDOWherps","5/30/18 19:20","NDOWherps",642545,4002844,-115.41522,36.15994,""
685,685,"1bd17372-82a2-444c-8a4f-7ff9545cb341","hesuca17","other","Calico",2018-05-31 13:34:00,"scohen","radio",NA,"Utm 
0642842
4003123
 3 m
Around corner Kraft
Over wash to S face slope","5/31/18 17:09","NDOWherps","5/31/18 17:09","NDOWherps",642842,4003123,-115.41197,36.16238,""
691,691,"4a69a585-99cb-490d-aaef-43e5a0ff1ba1","hesuca17","other","Calico",2018-06-01 02:33:00,"jvanas","visual",NA,"Utm 
0642845
4002901
 3 m
Surface active 
At e corner of Kraft","6/1/18 5:04","NDOWherps","6/1/18 5:04","NDOWherps",642845,4002901,-115.41197,36.16039,""
761,761,"1d851511-8ced-49f7-b5f0-eb890cdefb93","hesuca17","other","Calico",2018-06-06 16:30:00,"scohen","radio",201,"Tracks leading into shelter.","6/23/18 20:58","NDOWherps","6/23/18 20:58","NDOWherps",643029,4003405,NA,NA,""
793,793,"472d8bd0-b70b-4a18-ab68-25bf6b880bea","hesuca17","other","Calico",2018-07-11 15:24:00,"scohen","radio",181,"Tracks inside the cave leading to the smaller shelter entrance.","7/11/18 21:25","NDOWherps","7/11/18 21:25","NDOWherps",642920,4003358,NA,NA,""
