"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2","n"
1213,1213,"5643acaa-2246-4f27-8012-431f3993fd67","hesuca21","other","Calico",2019-06-05 14:14:00,"jvanas","visual",299,"Utm 
0641191
4002986
Huge move W & N","6/5/19 18:43","NDOWherps","6/5/19 18:43","NDOWherps",641191,4002986,NA,NA,"",23
1232,1232,"7039d203-4c12-4b77-b1dc-99eae5e4b83b","hesuca21","other","Calico",2019-06-06 17:25:00,"jvanas","radio",NA,"Utm 
0641514
4002460
Above C 4 and C9
","6/6/19 19:33","NDOWherps","6/6/19 19:33","NDOWherps",641514,4002460,NA,NA,"",23
1237,1237,"484a3fbd-035e-42b4-992e-bdd487bd9a36","hesuca21","other","Calico",2019-06-08 15:40:00,"jvanas","visual",NA,"Utm 
0641980
4001621
Surface active 
Assissi canyon ","6/8/19 20:00","NDOWherps","6/8/19 20:00","NDOWherps",641980,4001621,NA,NA,"",23
1241,1241,"d1c87627-e932-42a9-aba3-2da5db3f09ab","hesuca21","other","Calico",2019-06-10 17:57:00,"jvanas","radio",29,"Utm 
0641996
4001593","6/10/19 23:59","NDOWherps","6/10/19 23:59","NDOWherps",641996,4001593,NA,NA,"",23
1269,1269,"fd252f2b-3652-40cc-a0ca-7838c8999690","hesuca21","other","Calico",2019-06-17 15:07:00,"jvanas","radio",50,"Utm 
0641875
4001626
","6/18/19 12:21","NDOWherps","6/18/19 12:21","NDOWherps",641875,4001626,NA,NA,"",23
1300,1300,"68d535d7-5595-4dcd-b5e5-6fdf04eb2e98","hesuca21","other","Calico",2019-06-22 14:44:00,"jvanas","radio",37,"Utm 
0641591
4002094
","6/22/19 23:24","NDOWherps","6/22/19 23:24","NDOWherps",641591,4002094,NA,NA,"",23
1310,1310,"311f0f21-5484-42a5-983d-f7ac280e2a41","hesuca21","other","Calico",2019-06-24 13:55:00,"jvanas","radio",43,"Utm 
0641590
4002093

","6/24/19 20:14","NDOWherps","6/24/19 20:14","NDOWherps",641590,4002093,NA,NA,"",23
1325,1325,"02985924-bf5b-4d58-91c8-3e3f1c55abc6","hesuca21","other","Calico",2019-06-27 14:48:00,"other","radio",345,"","6/27/19 19:42","NDOWherps","6/27/19 19:42","NDOWherps",641410,4001917,NA,NA,"",23
1346,1346,"1e1943c4-0009-4ed3-8394-2050b897d6ca","hesuca21","other","Calico",2019-07-05 18:35:00,"other","visual",127,"Saw monster deep in shelter
utm: 0641507, 4002212","7/8/19 16:53","NDOWherps","7/8/19 16:53","NDOWherps",641507,4002212,NA,NA,"",23
1363,1363,"19b2c679-a11e-4e17-ac34-8754e8063998","hesuca21","other","Calico",2019-07-22 12:10:00,"other","radio",93,"UTM: 0642007, 4001562","7/23/19 3:16","NDOWherps","7/23/19 3:16","NDOWherps",642007,4001562,NA,NA,"",23
1401,NA,"6e12334e-e367-4b85-af22-09336c5bc407","hesuca21","other","Calico",2019-09-04 15:46:00,"jjones","radio",2,"Under boulder with veg. UTMs 0641787, 4001372, wp 133","9/7/19 22:21","jljones76","9/7/19 22:21","jljones76",641787,4001372,NA,NA,"",23
1404,NA,"cdac4cc3-cff5-4514-82e2-59e27ac38b5a","hesuca21","other","Calico",2019-09-09 13:24:00,"other","radio",303,"UTM: 0641788, 4001376","9/9/19 13:33","NDOWherps","9/9/19 13:33","NDOWherps",641788,4001376,NA,NA,"",23
1418,NA,"b42d7469-1efa-4678-87e2-9b633fed041a","hesuca21","other","Calico",2019-09-16 14:46:00,"other","radio",303,"Same place as last time","9/16/19 14:58","NDOWherps","9/16/19 14:58","NDOWherps",641788,4001376,NA,NA,"",23
1430,NA,"fc27a07e-bd8a-4e8f-966b-609304a3b53d","hesuca21","other","Calico",2019-09-23 14:45:00,"other","radio",3,"Same shelter as last time","9/23/19 14:50","NDOWherps","9/23/19 14:50","NDOWherps",641788,4001376,NA,NA,"",23
1444,NA,"50b13eab-027b-45e6-9a87-dc48d8ed1bae","hesuca21","other","Calico",2019-09-27 17:25:00,"scohen","radio",NA,"Unable to determine shelter entrance.
0641825
4001382
Elevation 4,077ft","9/29/19 13:37","NDOWherps","9/29/19 13:37","NDOWherps",641825,4001382,NA,NA,"",23
1456,NA,"3c812a1c-050d-4aa6-8d79-92f0862b2f7e","hesuca21","other","Calico",2019-10-04 17:23:00,"other","radio",231,"UTM: 0641898, 4001486 (3m accuracy)","10/4/19 17:37","NDOWherps","10/4/19 17:37","NDOWherps",641898,4001486,NA,NA,"",23
