"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2"
116,116,"fd74d1c7-3e23-49f7-99b1-47cba3d02457","hesuca3","hesu3","Calico",2017-05-22 16:42:00,"jvanas","visual",NA,"UTM 
0640994
4002850
Digging","5/22/17 21:29","NDOWherps","5/22/17 21:29","NDOWherps",640994,4002850,-115.43274,36.16018,""
218,218,"4895e58b-59f3-499f-9e5e-a32c2dc7d6bc","hesuca3","hesu3","Calico",2017-07-19 12:45:00,"jvanas","visual",172,"UTM 
0640998
4002964

Use UT M. Forgot phone ","7/19/17 17:07","NDOWherps","7/19/17 17:07","NDOWherps",640998,4002964,NA,NA,""
231,231,"6f8d004c-f9d6-4e95-bbbc-5ea97609e544","hesuca3","hesu3","Calico",2017-07-24 13:30:00,"jvanas","visual",172,"UTM 
0640996
4002961","7/24/17 18:01","NDOWherps","7/24/17 18:01","NDOWherps",640996,4002961,-115.43246,36.16124,""
360,360,"d14ac804-0f9c-4810-ab23-2e7ffe4e3467","hesuca3","hesucal3","Calico",2018-01-31 19:01:00,"jjones","radio",140,"Utm 0641023, 4002988 +|-5m","1/31/18 22:17","jljones76","1/31/18 22:17","jljones76",641023,4002988,NA,NA,""
422,422,"63f5e660-c967-4ce4-93fc-886703c8ebb7","hesuca3","hesu3","Calico",2018-04-01 17:40:00,"jvanas","visual",NA,"UTM
0641138
4002818

 Capture","4/1/18 22:51","NDOWherps","4/1/18 22:51","NDOWherps",641138,4002818,-115.43072,36.15976,""
466,466,"d3b3ec71-1a40-45fa-99b7-bd388ab3a3e4","hesuca3","hesu3","Calico",2018-04-15 20:39:00,"jvanas","visual",NA,"UTM
0641071
4002874
3 m
Under cat claw ","4/15/18 23:50","NDOWherps","4/15/18 23:50","NDOWherps",641071,4002874,-115.43162,36.16042,""
467,467,"44c2a3b0-729e-4328-8e4f-dd6460e341c2","hesuca3","hesucal3","Calico",2018-04-17 19:07:00,"jvanas","radio",166,"Utm
0642226
4002878
  3 m
Survey123 not working
  Actual time 0815 hrs","4/17/18 21:27","NDOWherps","4/17/18 21:27","NDOWherps",642226,4002878,-115.16549,36.15531,""
471,471,"986dc81d-ad35-461d-a518-90a7d62f8390","hesuca3","hesucal3","Calico",2018-04-18 17:31:00,"jvanas","visual",166,"Same shelter but C 12 gone","4/18/18 21:52","NDOWherps","4/19/18 15:40","NDOWherps",642226,4002875,NA,NA,""
476,476,"2fea8188-6eee-43a1-9160-cff2df821a1c","hesuca3","hesucal3","Calico",2018-04-21 21:01:00,"jvanas","radio",220,"Utm
0641214
4002809
 3 m
Shelter used last year with C 13. By path  ","4/22/18 12:07","NDOWherps","4/22/18 12:07","NDOWherps",641214,4002809,-115.4301,36.15979,""
482,482,"10f8ad03-299e-438c-b317-f768ea8ee465","hesuca3","hesucal3","Calico",2018-04-24 14:21:00,"jvanas","visual",304,"utm 
0640919
4002937
4 m
","4/24/18 21:13","NDOWherps","4/24/18 21:13","NDOWherps",640919,4002937,-115.43255,36.1609,""
500,500,"4ea8819b-1bcd-438b-b4c0-64ec34f53217","hesuca3","hesucal3","Calico",2018-04-28 14:30:00,"jvanas","visual",209,"Utm 
0640976
4002955
 4 m
 New shelter up slope ash creek ","4/28/18 20:24","NDOWherps","4/28/18 20:24","NDOWherps",640976,4002955,-115.43277,36.16095,""
516,516,"b8da9662-c314-4aaa-a0de-45ed3498facc","hesuca3","hesucal3","Calico",2018-04-30 22:01:00,"jvanas","visual",318,"Utm 
0640991
4002938
 5 m
Shelter used last year
Very shallow ","5/1/18 22:47","NDOWherps","5/1/18 22:47","NDOWherps",640991,4002938,-115.4325,36.16108,""
528,528,"f3624c90-2f47-4f7c-9cd8-5da5de2db0ac","hesuca3","hesucal3","Calico",2018-05-05 16:58:00,"jvanas","visual",NA,"Utm 
0641094
4002816
   3 m","5/5/18 21:43","NDOWherps","5/5/18 21:43","NDOWherps",641094,4002816,-115.43142,36.15978,""
535,535,"c615e009-4fb7-4bd4-a602-fcafbff77504","hesuca3","hesucal3","Calico",2018-05-06 17:31:00,"jvanas","radio",NA,"Utm 
0640993
4002796
3 m
Moved across wash to rocky boulders. Half way up ","5/6/18 20:33","NDOWherps","5/6/18 20:33","NDOWherps",640993,4002796,-115.43262,36.15965,""
541,541,"8d678bff-303c-442a-97f9-27b71fcce599","hesuca3","hesucal3","Calico",2018-05-08 13:06:00,"jvanas","visual",NA,"Utm 
0641493
4002706
5 m
New shelter more west above creek","5/8/18 17:47","NDOWherps","5/8/18 17:47","NDOWherps",641493,4002706,-115.4272,36.1587,""
