"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2"
1459,NA,"867be3a4-2eb6-4492-b8d7-52a353332e05","hesuca25","other","Calico",2019-10-04 23:30:00,"other","radio",132,"UTM: 0643349, 4003418 (3m accuracy)","10/4/19 23:44","NDOWherps","10/4/19 23:44","NDOWherps",643349,4003418,NA,NA,""
1468,NA,"d8bdedfe-f019-4609-a403-87f127b8032e","hesuca25","other","Calico",2019-10-08 21:23:00,"other","radio",139,"Same shelter as last time.","10/8/19 21:30","NDOWherps","10/8/19 21:30","NDOWherps",643349,4003418,NA,NA,""
1473,NA,"941a5476-bc7a-4b2b-919b-b2e49aaf0094","hesuca25","other","Calico",2019-10-09 16:27:00,"jjones","radio",175,"Wp150, UTMs 0643351, 4003415","10/9/19 16:55","jljones76","10/9/19 16:55","jljones76",643351,4003415,NA,NA,""
