"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2","n"
124,124,"bf4e1b98-4ea3-4041-8cf3-df8fa3c02586","hesuca6","hesu6","Calico",2017-05-24 16:30:00,"jvanas","radio",262,"UTM 
0642969
4002385
","5/24/17 20:35","NDOWherps","5/24/17 20:35","NDOWherps",642969,4002385,-115.41042,36.15555,"",152
152,152,"b510e39b-cd05-49bb-b16d-675c250cc983","hesuca6","hesu6","Calico",2017-06-04 12:48:00,"jvanas","radio",180,"UTM 
0642507
4002786","6/5/17 1:51","NDOWherps","6/5/17 1:51","NDOWherps",642507,4002786,-115.41609,36.1593,"",152
160,160,"8b20cc8a-b1eb-40e7-9e6b-39520445851a","hesuca6","hesu6","Calico",2017-06-07 13:08:00,"jvanas","radio",291,"UTM 
0642625
4002649
In big wash","6/7/17 18:26","NDOWherps","6/7/17 18:26","NDOWherps",642625,4002649,-115.41447,36.15647,"",152
192,192,"19bf3128-17e8-49d7-87a5-4ed1925e3200","hesuca6","hesu6","Calico",2017-07-06 16:00:00,"jvanas","radio",NA,"UTM 
0642297
4002999
On vertical cliff 
Do not know how close
","7/6/17 19:37","NDOWherps","7/6/17 19:37","NDOWherps",642297,4002999,-115.41796,36.16123,"",152
207,207,"54d000f8-67af-41d2-9cf9-260f11c9a9c5","hesuca6","hesu6","Calico",2017-07-13 14:10:00,"jvanas","radio",284,"UTM 
0642877
4002782
","7/13/17 16:17","NDOWherps","7/13/17 16:17","NDOWherps",642877,4002782,-115.41169,36.15929,"",152
224,224,"43157228-1fc3-4e30-aaaa-d915225cccde","hesuca6","hesu6","Calico",2017-07-20 13:01:00,"jvanas","radio",72,"UTM 
0643112
4002598","7/20/17 17:14","NDOWherps","7/20/17 17:14","NDOWherps",643112,4002598,-115.40903,36.15766,"",152
452,452,"e618dc7e-fd4b-425d-9f7a-c499423b1ef6","hesuca6","hesu6","Calico",2018-04-11 16:14:00,"scohen","visual",61,"Lizard was visible in shelter upon arrival. 

0643059
4002654","4/12/18 20:52","NDOWherps","4/12/18 20:52","NDOWherps",643059,4002654,-115.40962,36.15811,"",152
461,461,"89c12c7c-8d88-4a10-8d6a-c919229d95bb","hesuca6","hesu6","Calico",2018-04-14 17:47:00,"jvanas","radio",150,"UTM
0642780
4002432
 3 m
Shelter from last year
5 th D.","4/14/18 22:04","NDOWherps","4/14/18 22:04","NDOWherps",642780,4002432,-115.4128,36.15615,"",152
474,474,"b84a66e6-5158-44ff-b6d0-85c71e3a6fd5","hesuca6","hesucal6","Calico",2018-04-18 18:54:00,"jjones","radio",70,"Under boulder in small hole; numerous climbers & loose dogs","4/19/18 15:38","NDOWherps","4/19/18 15:38","NDOWherps",642715,4002875,NA,NA,"",152
481,481,"bc89441f-1c61-449d-b300-23d471ecabf2","hesuca6","hesucal6","Calico",2018-04-22 18:20:00,"jvanas","radio",168,"On Kraft
UTM
0642714
4002880
3m ","4/22/18 20:02","NDOWherps","4/22/18 20:02","NDOWherps",642714,4002880,-115.41339,36.16011,"",152
