"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2"
264,264,"fa8ff042-9633-4836-b1bc-1e7621716b68","hesuca11","hesu11","Calico",2017-09-01 14:08:00,"jvanas","visual",160,"Released 
UTM 
0642335
4002898","9/4/17 1:26","NDOWherps","9/4/17 1:26","NDOWherps",642335,4002898,-115.41768,36.16034,""
268,268,"1043791b-e7b9-438a-8a80-bab6a7a1bf89","hesuca11","hesu11","Calico",2017-09-04 13:12:00,"jvanas","radio",NA,"UTM 
0642286
4002974
","9/4/17 16:43","NDOWherps","9/4/17 16:43","NDOWherps",642286,4002974,-115.4183,36.16105,""
420,420,"454e871d-ccff-4f15-973e-1aff08dc8a6e","hesuca11","hesu11","Calico",2018-03-29 19:28:00,"jvanas","visual",130,"UTM
0642136
4002769
4m
Under Cats Claw
","3/30/18 20:45","NDOWherps","3/30/18 20:45","NDOWherps",642136,4002769,-115.41984,36.15911,""
418,418,"5984bd61-977f-4df3-a67a-2bbcf6bee551","hesuca11","hesu11","Calico",2018-03-30 16:44:00,"jvanas","visual",227,"UTM
0642128
4002893
  3 m","3/30/18 20:44","NDOWherps","3/30/18 20:44","NDOWherps",642128,4002893,-115.41976,36.16041,""
424,424,"7c678263-57c7-4f4d-8505-afb6de0e6ad6","hesuca11","hesu11","Calico",2018-04-03 20:41:00,"jvanas","visual",131,"UTM
0642337
4002885
  3 m
   Dug under big rock by Plumbers Crack 
","4/3/18 22:05","NDOWherps","4/3/18 22:05","NDOWherps",642337,4002885,-115.41721,36.16032,""
465,465,"dc6dbfad-186a-4437-b4c7-7657128bc5e0","hesuca11","hesu11","Calico",2018-04-14 21:58:00,"jvanas","visual",NA,"Out hunting
0642333
4002834
Near paths and a few hundred peeps 
","4/14/18 22:05","NDOWherps","4/14/18 22:05","NDOWherps",642333,4002834,-115.41758,36.16001,""
469,469,"267ecb65-9ff9-4cbf-a4bc-b77257f14c51","hesuca11","hesuca11","Calico",2018-04-18 19:26:00,"jvanas","visual",201,"","4/18/18 21:51","NDOWherps","4/18/18 21:51","NDOWherps",641998,4002911,-115.42133,36.16055,""
484,484,"6ec66a64-b393-4a0d-956c-feff335fd16e","hesuca11","hesuca11","Calico",2018-04-24 16:58:00,"jvanas","visual",NA,"Utm 
0642122
4002862
 3 m
Out walking 
","4/24/18 21:13","NDOWherps","4/24/18 21:13","NDOWherps",642122,4002862,-115.41995,36.16013,""
494,494,"99f4ccb9-dc0c-4e55-86c3-b62561534c1c","hesuca11","hesuca11","Calico",2018-04-25 13:51:00,"jvanas","visual",268,"Utm 
0642121
4002861
 3 m
Same shelter as 4/24/18 ","4/25/18 19:53","NDOWherps","4/25/18 19:53","NDOWherps",642121,4002861,-115.41997,36.16009,""
492,492,"b6461101-3a6c-4005-a7c3-48bf9a49cc6d","hesuca11","hesuca11","Calico",2018-04-25 14:38:00,"jvanas","visual",235,"Utm 
0642285
4002909
 3 m
Under large open rock
","4/25/18 19:53","NDOWherps","4/25/18 19:53","NDOWherps",642285,4002909,-115.41808,36.16055,""
497,497,"fc319ad2-0d1e-431a-b4f8-ac5b124ecb83","hesuca11","hesuca11","Calico",2018-04-27 13:41:00,"jvanas","radio",259,"Utm 
0642124
4002865
 4 m
Same shelter 
","4/28/18 20:24","NDOWherps","4/28/18 20:24","NDOWherps",642124,4002865,-115.41994,36.16013,""
495,495,"0a164efa-25bf-45ad-8d17-a6e1cf61b0c4","hesuca11","hesuca11","Calico",2018-04-28 17:26:00,"jvanas","radio",290,"Utm 
0642122
4002863
 3 m
Same shelter ","4/28/18 20:24","NDOWherps","4/28/18 20:24","NDOWherps",642122,4002863,-115.41984,36.16009,""
509,509,"924d310d-d802-4c95-ac8e-71e7ee1244d8","hesuca11","hesuca11","Calico",2018-04-29 15:49:00,"jvanas","visual",NA,"Utm
0642118
4002861
 3 m
Out walking","4/29/18 20:20","NDOWherps","4/29/18 20:20","NDOWherps",642118,4002861,-115.42004,36.16011,""
518,518,"e8ebfa09-bb7d-4b62-a132-973f46fd745a","hesuca11","hesuca11","Calico",2018-04-30 22:58:00,"jvanas","visual",NA,"Utm 
0641673
4002634
 3 m
Out hunting
Near house foundations ","5/1/18 22:47","NDOWherps","5/1/18 22:47","NDOWherps",641673,4002634,-115.42502,36.1581,""
536,536,"d2228af3-edb8-4ae3-8c1d-a87e03675029","hesuca11","hesuca11","Calico",2018-05-07 16:25:00,"jvanas","radio",88,"Utm 
0641127
4002866
 4 m
Return to shelter W of Cube","5/7/18 18:46","NDOWherps","5/7/18 18:52","NDOWherps",641127,4002866,-115.41995,36.1601,""
543,543,"c754aa92-e098-4adf-88d2-b955e3a0fb4d","hesuca11","hesuca11","Calico",2018-05-10 19:17:00,"jvanas","visual",348,"Utm 
0642152
4002848
 4 m
Small rock. Deep hole. W of Cube. Low down
","5/11/18 1:42","NDOWherps","5/11/18 1:42","NDOWherps",642152,4002848,-115.41966,36.15992,""
